conversation_id,validating_emotions,encouraging_elaboration,demonstrating_understanding,advice_giving,self_oriented,dismissing_emotions
20241031145103738386,1,4,1,2,1,3
20241031145050008738,1,3,1,5,2,4
20241031143614621777,4,3,3,1,2,1
20241031131104204354,2,2,1,2,1,2
20241031150235217462,3,4,2,4,3,2
20241031145619979111,3,4,2,3,1,2
20241031144618187410,2,4,1,4,1,3
20241031144237228364,3,4,2,3,1,2
20241031144410053256,3,4,3,2,3,3
20241031124050492385,2,2,1,4,1,4
20241031142025401692,2,2,1,4,3,3
20241031143941950562,2,2,1,2,3,3
20241031145640298594,4,4,3,1,2,2
20241031142631374406,2,1,1,4,1,3
20241031144657019855,3,3,2,3,1,3
20241031142911674809,5,4,3,1,1,1
20241031125810052721,2,2,1,2,1,3
20241031145710438129,2,4,1,3,1,3
20241031124638971163,2,2,1,3,5,3
20241031145848519908,4,1,2,1,1,1
20241031143012041613,2,3,1,3,1,3
20241031144011171565,4,2,2,2,1,2
20241031145659196118,2,4,2,3,3,3
20241031125849757353,2,2,2,3,1,3
20241031145117414259,4,4,2,2,4,2
20241031143721849193,2,1,1,4,3,4
20241031130310482335,3,4,2,1,1,1
20241031142326744348,1,2,1,5,1,4
20241031143107374365,2,3,2,4,2,3
20241031150257546670,2,3,2,3,2,3
20241031142343248156,2,2,1,4,4,3
20241031143420587455,3,4,3,3,1,2
20241031144350174874,3,4,1,2,5,2
20241031141852450492,3,2,2,2,3,3
20241031142939150275,2,3,1,4,1,4
20241031144856903579,3,3,2,3,1,3
20241031144401095945,1,2,1,4,1,4
20241031145139367719,3,2,2,3,2,2
20241031144740239368,2,2,1,4,3,3
20241031144225966527,4,4,2,4,1,2
20241031143714391442,2,5,1,2,1,3
20241031143623775499,2,2,1,4,3,3
20241031150253617689,4,3,3,3,1,2
20241031145838989513,2,2,1,3,3,3
20241031142922509539,2,4,2,2,1,3
20241031143028878832,2,2,1,4,1,3
20241031142002371691,2,3,1,4,2,3
20241031150832963315,2,3,2,3,1,3
20241031143018571296,2,3,1,5,3,3
20241031142609584451,2,4,1,4,1,3
