,validating_emotions,encouraging_elaboration,demonstrating_understanding,advice_giving,self_oriented,dismissing_emotions
gemini-1.5-flash_fewshot_mean,0.0,0.0,0.0,0.0,0.0,0.0
gemini-1.5-flash_fewshot_std,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o_fewshot_mean,0.2,0.12,0.14,0.22,0.24,0.3
gpt-4o_fewshot_std,0.4040610178208843,0.3282607226593159,0.3505098327538656,0.4184519575964803,0.4763809143009448,0.4629100498862757
gemini-1.5-flash_cot_mean,0.1,0.0,0.22,0.26,0.12,0.32
gemini-1.5-flash_cot_std,0.30304576336566325,0.0,0.41845195759648035,0.48697315854455175,0.38544964466377263,0.6527805519311921
gpt-4o_cot_mean,0.08,0.3,0.28,0.28,0.3,0.44
gpt-4o_cot_std,0.27404751561786966,0.4629100498862757,0.5360475154083919,0.5360475154083919,0.5439837932759934,0.6439672954048369
gemini-2.0-flash_fewshot_mean,0.0,0.0,0.0,0.04,0.0,0.02
gemini-2.0-flash_fewshot_std,0.0,0.0,0.0,0.19794866372215741,0.0,0.1414213562373095
